event_name,keywords
airstrikes,airstrike + ISIS ammunition + Talbiseh
american_soldier_quran,American Soldier Quran + soviet
ankara_explosions,Ankara Explosion + Turkey
attacks_paris,Attacks Paris + 2015
black_lion,Black Lion + hoax
boko_haram,boko haram + kidnapping + nigeria
bowie_david,Bowie David + rumour + famous people
brussels_car_metro,Brussels Car Metro + Allahu Akbar
brussels_explosions,Brussels Explosions + zaventerm airport
burst_kfc,Burst in KFC + black brunch + 2015
bush_book,bush book upside down + hoax
convoy_explosion_turkey,Convoy Explosion Turkey
donald_trump_attacker,Donald Trump Attacker + ISIS
eagle_kid,Eagle snatch kid + montreal
five_headed_snake,Five Headed Snake + India
fuji_lenticular,Fuji Lenticular Clouds + fake
gandhi_dancing,Gandhi Dancing + girl
half_everything,Half of Everything + divorce + German
hubble_telescope,Hubble Space Telescope + fake
immigrants_fear,Immigrants’ fear + Germany + Milo Moire
isis_children,ISIS children + 200 Syrian
john_guevara,John Guevara + play guitar + fake
mc_donalds_fee,Mc Donalds’ Fee + African-American customers
nazi_submarine,Nazi Submarine discovered + lake Ontario
north_korea,north korean + submarine + ballistic missile + fake
not_afraid,Not Afraid + Charlie Hebdo + attack + Paris
pakistan_explosion,Pakistan Explosion + park + Eiffel Tower + flag
pope_francis,Pope Francis performing a trick
protest,Protest + in Dresden + protest of the Pegida group
refugees,Refugees + ISIS
rio_moon,Supermoon + Rio de Janeiro
snowboard_girl,Snowboard Girl + bear
soldier_stealing,robbing + Ukrainian + Russian soldiers + two geese
syrian_children,Syrian children
ukrainian_nazi,Fake + Lviv Celebrates City Day +  Swastika
woman_14_children,Woman 14 children + Detroit woman
