mul_id,type,event_name,abs_path
airstrikes_1	,video,airstrikes,https://www.youtube.com/watch?v=5b08s4F-Z0o
american_soldier_quran_1	,video,american_soldier_quran,https://www.youtube.com/watch?v=OhKcqJPsLd0
ankara_explosions_1	,video,ankara_explosions,https://www.dropbox.com/s/fi7qp2n3t3t5w18/ankara_explosions_1.mp4?dl=0
ankara_explosions_2	,video,ankara_explosions,https://www.dropbox.com/s/i16gh0tw3yx2qls/ankara_explosions_2.mp4?dl=0
ankara_explosions_3	,video,ankara_explosions,https://www.youtube.com/watch?v=5vnUNnSXCn4
attacks_paris_1,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_1.jpg
attacks_paris_10,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_10.jpg
attacks_paris_11,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_11.jpg
attacks_paris_12,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_12.jpg
attacks_paris_13,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_13.png
attacks_paris_14,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_14.jpg
attacks_paris_15,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_15.jpg
attacks_paris_16	,video,attacks_paris,https://twitter.com/punterslounge/status/665312207823962112
attacks_paris_17,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_17.jpg
attacks_paris_18,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_18.jpg
attacks_paris_19,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_19.jpg
attacks_paris_2,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_2.jpg
attacks_paris_20,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_20.jpg
attacks_paris_21,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_21.jpg
attacks_paris_22,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_22.png
attacks_paris_23,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_23.jpg
attacks_paris_24	,video,attacks_paris,https://vine.co/v/iBb2x00UVlv
attacks_paris_25,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_25.jpg
attacks_paris_3,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_3.jpg
attacks_paris_4,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_4.jpg
attacks_paris_5,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_5.jpg
attacks_paris_6,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_6.jpg
attacks_paris_7	,video,attacks_paris,https://twitter.com/AnonymissRise/status/665303431721041922
attacks_paris_8,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_8.jpg
attacks_paris_9,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/attacks_paris/attacks_paris_9.jpg
black_lion_1,image,black_lion,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset/testset_maintask_files/black_lion/black_lion_1.jpg
