event_name,keywords
antafogasta_wave,tsunami + antofagasta wave + phuket
attacks_paris,Attacks Paris + 2015
black_lion,Black Lion + hoax
bowie_david,Bowie David + rumour + famous people
burst_kfc,Burst in KFC + black brunch + 2015
bush_book,bush book upside down + hoax
engine_fire,American Airlines + fire
five_headed_snake,Five Headed Snake + India
fog_hunt,a fox among dogs
fuji_lenticular,Fuji Lenticular Clouds + fake
gandhi_dancing,Gandhi Dancing + girl
immigrants_fear,Immigrants fear + Germany + Milo Moire
john_guevara,John Guevara + play guitar + fake
mc_donalds_fee,Mc Donalds Fee + African-American customers
north_korea,north korean + submarine + ballistic missile + fake
not_afraid,Not Afraid + Charlie Hebdo + attack + Paris
pakistan_explosion,Pakistan explosion + Eiffel tower + flag
protest,Protest in Dresden  Pegida group
refugees,Refugees ISIS
rio_moon,Supermoon Rio de Janeiro
soldier_stealing,Ukrainian Russian soldiers robbing
syrian_children,children in Syria
ukrainian_nazi,Lviv Celebrates City Day +  Swastika
woman_14_children,Woman 14 children + Detroit
