mul_id,type,event_name,abs_path
antafogasta_wave_1,image,antafogasta_wave,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/antafogasta_wave/antafogasta_wave_1.jpg
attacks_paris_1,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/attacks_paris/attacks_paris_1.jpg
attacks_paris_2,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/attacks_paris/attacks_paris_2.jpg
attacks_paris_3,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/attacks_paris/attacks_paris_3.jpg
attacks_paris_4,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/attacks_paris/attacks_paris_4.jpg
attacks_paris_5,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/attacks_paris/attacks_paris_5.jpg
attacks_paris_6,image,attacks_paris,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/attacks_paris/attacks_paris_6.jpg
black_lion_1,image,black_lion,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/black_lion/black_lion_1.jpg
bowie_david_1,image,bowie_david,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/bowie_david/bowie_david_1.jpg
bowie_david_2,image,bowie_david,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/bowie_david/bowie_david_2.jpg
bowie_david_3,image,bowie_david,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/bowie_david/bowie_david_3.jpg
bowie_david_4,image,bowie_david,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/bowie_david/bowie_david_4.jpg
bowie_david_5,image,bowie_david,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/bowie_david/bowie_david_5.png
burst_kfc_1,image,burst_kfc,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/burst_kfc/burst_kfc_1.jpg
burst_kfc_2,image,burst_kfc,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/burst_kfc/burst_kfc_2.jpg
bush_book_1,image,bush_book,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/bush_book/bush_book_1.jpg
bush_book_2,image,bush_book,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/bush_book/bush_book_2.jpg
bush_book_3,image,bush_book,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/bush_book/bush_book_3.jpg
engine_fire_1,image,engine_fire,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/engine_fire/engine_fire_1.jpg
five_headed_snake_1,image,five_headed_snake,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/five_headed_snake/five_headed_snake_1.jpg
five_headed_snake_2,image,five_headed_snake,/Users/quoctin/Documents/UNITN - No Dropbox/MediaEVAL/image-verification-corpus-master/mediaeval2016/testset_subtask_files/five_headed_snake/five_headed_snake_2.jpg
